SECCION,x,y,pan,morena,pri,estrato,dif,ln,estratogeo,estratoele,estratodif,estrato_final,estrato_nombre
1664,-93.10523442065136,16.75544456493999,0.2647233789411065,0.20404521118381916,0.060083283759666865,centro oriente sur,-0.06067816775728732,1681,3,3,3,3,Centro oriente
1665,-93.10898691140898,16.7563359682203,0.2785315243415802,0.19393455706304868,0.04948124501197127,centro oriente sur,-0.0845969672785315,1253,3,3,3,3,Centro oriente
1617,-93.11474927172505,16.776595475686214,0.2814387699066447,0.2896760021965953,0.05216913783635365,periferia oriente norte,0.008237232289950602,3642,3,3,5,5,Periferia norte
1618,-93.1042408950295,16.776562403109708,0.22838899803536344,0.32662082514734775,0.057465618860510805,periferia oriente norte,0.0982318271119843,2036,3,3,5,5,Periferia norte
1619,-93.09918964715257,16.772589123811237,0.3169428113308391,0.29877071084981294,0.050774986638161414,centro oriente norte,-0.018172100481026188,1871,7,3,5,5,Periferia norte
1620,-93.09435648984606,16.77177078684634,0.3334847796456156,0.25442980463425713,0.05679236710586097,centro oriente norte,-0.0790549750113585,2201,7,3,3,3,Centro oriente
1621,-93.08772344775117,16.76748949144774,0.25754884547069273,0.2069271758436945,0.03818827708703375,centro oriente norte,-0.05062166962699824,1126,7,3,3,3,Centro oriente
1625,-93.0760472258485,16.762146831374988,0.14996767937944408,0.2915319974143504,0.07627666451195864,periferia oriente norte,0.1415643180349063,3094,8,3,1,1,Periferia sur oriente
1624,-93.07242346978853,16.76089033415311,0.10315186246418338,0.3172329103561195,0.05525992632009824,periferia oriente norte,0.2140810478919361,2443,8,3,1,1,Periferia sur oriente
1622,-93.0687678653471,16.775243437611994,0.15279307631785996,0.24311565696302123,0.06294256490952006,periferia oriente norte,0.09032258064516127,6355,7,3,5,5,Periferia norte
1623,-93.06791727130381,16.761319520895118,0.11543184609087188,0.27957429390094146,0.08268522308636922,periferia oriente norte,0.1641424478100696,2443,8,3,1,1,Periferia sur oriente
1729,-93.09107050703393,16.734076116931444,0.15785174596691853,0.27057382070655506,0.07085971002654687,periferia oriente sur,0.11272207473963652,4897,8,1,1,1,Periferia sur oriente
1743,-93.06969889585933,16.727242444485384,0.1753682842287695,0.2653812824956672,0.07918110918544194,periferia oriente sur,0.09001299826689774,9232,8,1,1,1,Periferia sur oriente
1628,-93.09548449774773,16.76776862298746,0.2816027088036117,0.2291196388261851,0.05304740406320542,centro oriente norte,-0.052483069977426605,1772,7,3,3,3,Centro oriente
1627,-93.09164375381533,16.767967769398265,0.32265446224256294,0.2547673531655225,0.03813882532418002,centro oriente norte,-0.06788710907704043,1311,7,3,3,3,Centro oriente
1728,-93.10767483793995,16.737337246814253,0.19622093023255813,0.2870639534883721,0.06395348837209303,periferia oriente sur,0.09084302325581398,1376,8,1,1,1,Periferia sur oriente
1629,-93.09986884848823,16.765892529852902,0.2949579831932773,0.2801120448179272,0.05070028011204482,centro oriente norte,-0.014845938375350143,3570,7,3,3,3,Centro oriente
1632,-93.1114729273318,16.769535407063337,0.2688821752265861,0.254380664652568,0.038066465256797584,centro oriente norte,-0.014501510574018106,1655,3,3,3,3,Centro oriente
1633,-93.11515382086739,16.767940606803077,0.3992146596858639,0.29908376963350786,0.05759162303664921,centro poniente norte,-0.10013089005235604,1528,3,3,3,3,Centro oriente
1634,-93.1184299402676,16.772518213642464,0.30841560883874003,0.24917724494593324,0.07193229901269393,centro poniente norte,-0.05923836389280679,2127,3,3,3,6,Centro poniente
1635,-93.12419247366532,16.769595942697556,0.3414179104477612,0.14272388059701493,0.049440298507462684,centro poniente norte,-0.19869402985074627,1072,3,3,3,6,Centro poniente
